Timestamp,LiveSSTableCount,AllMemtablesLiveDataSize,Latencty.95thPercentile
1528438365,58,11534880,263.21
1528438441,59,7664871,263.21
1528438499,61,22213217,315.852
1528438559,59,9082855,315.852
1528438620,61,4007457,263.21
1528438677,64,12718974,315.852
1528438733,61,3319828,315.852
1528438788,63,20423535,315.852
1528438839,62,10483817,454.826
1528438884,59,15749425,454.826
1528438943,60,8783438,315.852
1528438998,59,19711052,379.022
1528439055,60,8635953,315.852
1528439116,62,2102222,379.022
1528439172,61,12283984,315.852
1528439227,62,2091447,315.852
1528439282,64,6122245,379.022
1528439333,62,17669433,379.022
1528439388,64,11533835,315.852
1528439441,63,8502800,454.826
1528439483,59,2754770,454.826
1528439540,61,23465947,379.022
1528439598,63,6839306,454.826
1528439652,61,20777051,379.022
1528439708,63,16310625,315.852
1528439768,61,11050938,315.852
1528439842,64,14013809,315.852
1528439909,62,6461021,379.022
1528439973,64,4246489,315.852
1528440038,63,11243272,545.791
1528440088,64,2358881,654.949
1528440143,62,18852614,545.791
1528440207,64,9164703,545.791
